key|collectedFrom
3913652376|reared moths from cabbage
3913652507|from Chinese cabbage
3986711301|
3986711302|
3913652426|small caterpillars were found in bean pods
3913652430|taken at light
3404208303|sugarcane
3404208304|sugarcane
3404208309|sugarcane
3404208301|Paspalum conjugatum
3404208307|corn
3404208305|common milkweed, Asclepias curassavica
3404208308|common milkweed, Asclepias curassavica
3404208310|taro, eggplant, cotton, cowpeas, watermelon, cucumber, radish
3331266301|taro
3423274304|
3423274308|
3423274307|
3332448310|
3332448302|
3423274306|
3423274301|
3423274305|
3423274303|
3334184301|from grass
3332448308|
3332448320|
3332448305|on rotten corn stalks
3423274302|
3332448311|
3332448317|
3332448319|
3332448309|
3332448301|
3332448318|
3423274309|
3332448304|at light
3332448314|&quot; ex rotten bark of dug-dug &quot;
3334184303|&quot; ex rotten bark of dug-dug &quot;
3334184302|at light
3332448307|&quot; ex rotten bark of dug-dug &quot;
3331243303|
3331243309|
3331243310|on &quot;pengua&quot; and Hernandia peltata
3331243312|
3331243305|on cane
3331243301|on Hibiscus tiliacceus
3331243315|on Leucaena glauca
3331243302|
3331243313|on Thespesia populnea
3331243307|Intsia bijuga
3331243311|on Pipterus argenteus
3331243304|
3331243314|on Gloehidion marianum
3331243308|on Erythrina indica
3331243306|Malachra capitata
3331179301|ex leaf mold
3331179307|
3404216307|
3404216308|
3331179306|in rotten seed of Barringtonia speciosa
3404216304|ex ferns
3404216305|
3404216301|ex Piper guahamense
3331179302|ex Morinda
3331179309|ex rotten log
3331179304|
3404216302|under bark
3404216306|ex dead small-leaved Ficus
3404216303|ex dead small-leaved Ficus
3400686301|delphacid leafhopper Sogata eupompe Kirkaldy
3400686302|delphacid leafhopper Sogata eupompe Kirkaldy
3331242310|
3331242305|ex ferns
3331242313|
3419536306|
3419536302|ex &quot; hamlat &quot;
3331242314|ex Premna
3331242307|
3331242311|ex Ipomoea pes-caprae
3331242303|ex ferns
3419536308|
3419536304|ex Polygonum
3419536303|ex Jussiaea
3419536305|ex Jussiaea
3331242301|
3419536307|ex Cycas
3419536301|ex Scaevola frutescens
3331242312|ex Piper guahamense
3331242302|ex Ficus
3331242304|ex Psychotria
3331245315|
3331245320|
3331245323|
3331245311|
3331245308|
3331245326|from dead breadfruit tree
3331245303|from Pipturus argenteus
3331245334|
3864423313|
3864423304|
3331245332|at light
3331245329|at light
3331245305|on Hernandia peltata
3331245328|on Barringtonia speciosa
3331245313|
3331245301|
3331245306|on Crotalaria saltiana
3864423307|
3864423314|
3864423301|
3331245312|on Barringtonia racemosa
3331245318|on corn tassels
3331245324|among dead papaya leaves
3331245317|under bark
3864423317|at light
3864423306|
3334354302|in house
3334354301|
3333026301|
3333026313|in dead leaf of Areca palm
3333026308|
3333026304|on Hibiscus tiliaceus
3864423305|from fallen breadruit at light
3864423309|
3864423312|
3333026315|
3864423315|
3864423316|
3333026307|on corn
3333026302|
3333026314|
3333026305|
3333026309|on corn tassel
3864423318|among dead papaya leaves and seed cluster of Coccothrinax palm
3333026312|on mango
3331245309|
3331245333|on Citrus
3331245327|
3864423308|
3864423302|
3864423310|on Pithecolobium dulce
3864423303|
3864423311|on Pithecolobium 
3331245314|
3331245316|on dead branches of Citrus and on Pithecolobium
3331245331|
3331245325|
3331245322|miscellaneous sweeping
3331245304|among dried leaves of felled trees
3331245330|
3333885301|from rotten log
3331180303|
3331180307|from Pandanus log
3331180308|from log of fertile breadfruit
3331180306|in Areca palm stump
3416990301|Lumnitzera pedicellata
3416990302|in log
3331180302|from rotten log
3331180304|from rotten log of Pandanus
3331244304|on Glochidion marianum
3863915302|
3331244303|
3331244303|
